TEAM,PLAYER,POSITION,SCHOOL,Rating,Year.Selection,Overall sel,Pos.conv,Rated,last,first,fuzzy_key
Kansas City Chiefs,Chris Jones,DT,Mississippi State,0.9626,2016_37,37,DL,Yes,Jones,Chris,jonrisneschr
Miami Dolphins,Xavien Howard,CB,Baylor,,2016_38,38,DB,No,Howard,Xavien,howienardxav
Tampa Bay Buccaneers,Noah Spence,DE,Eastern Kentucky,0.9975,2016_39,39,DL,Yes,Spence,Noah,speoahncenoa
New York Giants,Sterling Shepard,WR,Oklahoma,0.9551,2016_40,40,WR,Yes,Shepard,Sterling,sheingardste
Buffalo Bills,Reggie Ragland,ILB,Alabama,0.9809,2016_41,41,LB,Yes,Ragland,Reggie,raggieandreg
Baltimore Ravens,Kamalei Correa,DE,Boise State,0.8441,2016_42,42,DL,Yes,Correa,Kamalei,corleireakam
Tennessee Titans,Austin Johnson,NT,Penn State,0.8479,2016_43,43,DL,Yes,Johnson,Austin,johtinsonaus
Oakland Raiders,Jihad Ward,DE,Illinois,,2016_44,44,DL,No,Ward,Jihad,warhadardjih
Tennessee Titans,Derrick Henry,RB,Alabama,0.9929,2016_45,45,RB,Yes,Henry,Derrick,henicknryder
Detroit Lions,A'Shawn Robinson,DT,Alabama,0.9852,2016_46,46,DL,Yes,Robinson,A'Shawn,robawnsona's
New Orleans Saints,Michael Thomas,WR,Ohio State,0.8333,2016_47,47,WR,Yes,Thomas,Michael,thoaelmasmic
Green Bay Packers,Jason Spriggs,T,Indiana,0.8529,2016_48,48,OL,Yes,Spriggs,Jason,sprsonggsjas
Seattle Seahawks,Jarran Reed,DT,Alabama,,2016_49,49,DL,No,Reed,Jarran,reeraneedjar
Houston Texans,Nick Martin,G,Notre Dame,0.861,2016_50,50,OL,Yes,Martin,Nick,maricktinnic
New York Jets,Christian Hackenberg,QB,Penn State,0.9927,2016_51,51,QB,Yes,Hackenberg,Christian,hacianergchr
Atlanta Falcons,Deion Jones,LB,LSU,0.8899,2016_52,52,LB,Yes,Jones,Deion,jonionnesdei
Washington Redskins,Su'a Cravens,LB,USC,0.9962,2016_53,53,LB,Yes,Cravens,Su'a,crau'aenssu'
Minnesota Vikings,Mackensie Alexander,CB,Clemson,0.9853,2016_54,54,DB,Yes,Alexander,Mackensie,alesiedermac
Cincinnati Bengals,Tyler Boyd,WR,Pittsburgh,0.9418,2016_55,55,WR,Yes,Boyd,Tyler,boyleroydtyl
Chicago Bears,Cody Whitehair,C,Kansas State,,2016_56,56,OL,No,Whitehair,Cody,whiodyaircod
Indianapolis Colts,T.J. Green,SAF,Clemson,0.8502,2016_57,57,DB,Yes,Green,T.J.,gre.j.eent.j
Pittsburgh Steelers,Sean Davis,SAF,Maryland,0.8657,2016_58,58,DB,Yes,Davis,Sean,daveanvissea
Tampa Bay Buccaneers,Roberto Aguayo,K,Florida State,,2016_59,59,K,No,Aguayo,Roberto,agurtoayorob
New England Patriots,Cyrus Jones,CB,Alabama,0.9788,2016_60,60,DB,Yes,Jones,Cyrus,jonrusnescyr
New Orleans Saints,Vonn Bell,SAF,Ohio State,0.9876,2016_61,61,DB,Yes,Bell,Vonn,belonnellvon
Carolina Panthers,James Bradberry,CB,Samford,,2016_62,62,DB,No,Bradberry,James,bramesrryjam
Denver Broncos,Adam Gotsis,DT,Georgia Tech,,2016_63,63,DL,No,Gotsis,Adam,gotdamsisada
Tennessee Titans,Kevin Byard,SAF,Middle Tennessee State,,2016_64,64,DB,No,Byard,Kevin,byavinardkev
Cleveland Browns,Carl Nassib,DE,Penn State,,2016_65,65,DL,No,Nassib,Carl,nasarlsibcar
San Diego Chargers,Max Tuerk,C,USC,0.9703,2016_66,66,OL,Yes,Tuerk,Max,tuemaxerkmax
Dallas Cowboys,Maliek Collins,DT,Nebraska,0.8661,2016_67,67,DL,Yes,Collins,Maliek,coliekinsmal
San Francisco 49ers,Will Redmond,CB,Mississippi State,0.9018,2016_68,68,DB,Yes,Redmond,Will,redillondwil
Jacksonville Jaguars,Yannick Ngakoue,DE,Maryland,0.8933,2016_69,69,DL,Yes,Ngakoue,Yannick,ngaickoueyan
Baltimore Ravens,Bronson Kaufusi,DE,Brigham Young,0.928,2016_70,70,DL,Yes,Kaufusi,Bronson,kausonusibro
New York Giants,Darian Thompson,SAF,Boise State,,2016_71,71,DB,No,Thompson,Darian,thoiansondar
Chicago Bears,Jonathan Bullard,DE,Florida,0.9924,2016_72,72,DL,Yes,Bullard,Jonathan,bulhanardjon
Miami Dolphins,Kenyan Drake,RB,Alabama,0.9454,2016_73,73,RB,Yes,Drake,Kenyan,drayanakeken
Kansas City Chiefs,KeiVarae Russell,CB,Notre Dame,0.9403,2016_74,74,DB,Yes,Russell,KeiVarae,rusraeellkei
Oakland Raiders,Shilique Calhoun,DE,Michigan State,0.8388,2016_75,75,DL,Yes,Calhoun,Shilique,calqueounshi
Cleveland Browns,Shon Coleman,T,Auburn,0.9528,2016_76,76,OL,Yes,Coleman,Shon,colhonmansho
Carolina Panthers,Daryl Worley,CB,West Virginia,0.8488,2016_77,77,DB,Yes,Worley,Daryl,worrylleydar
New England Patriots,Joe Thuney,G,North Carolina State,,2016_78,78,OL,No,Thuney,Joe,thujoeneyjoe
Philadelphia Eagles,Isaac Seumalo,G,Oregon State,0.9876,2016_79,79,OL,Yes,Seumalo,Isaac,seuaacaloisa
Buffalo Bills,Adolphus Washington,DT,Ohio State,0.9895,2016_80,80,DL,Yes,Washington,Adolphus,washustonado
Atlanta Falcons,Austin Hooper,TE,Stanford,0.881,2016_81,81,TE,Yes,Hooper,Austin,hootinperaus
Indianapolis Colts,Le'Raven Clark,T,Texas Tech,0.906,2016_82,82,OL,Yes,Clark,Le'Raven,clavenarkle'
New York Jets,Jordan Jenkins,LB,Georgia,0.9845,2016_83,83,LB,Yes,Jenkins,Jordan,jendaninsjor
Washington Redskins,Kendall Fuller,CB,Virginia Tech,0.9923,2016_84,84,DB,Yes,Fuller,Kendall,fulalllerken
Houston Texans,Braxton Miller,WR,Ohio State,0.9847,2016_85,85,WR,Yes,Miller,Braxton,miltonlerbra
Miami Dolphins,Leonte Carroo,WR,Rutgers,0.9295,2016_86,86,WR,Yes,Carroo,Leonte,carnterooleo
Cincinnati Bengals,Nick Vigil,ILB,Utah State,,2016_87,87,LB,No,Vigil,Nick,vigickgilnic
Green Bay Packers,Kyler Fackrell,LB,Utah State,,2016_88,88,LB,No,Fackrell,Kyler,faclerellkyl
Pittsburgh Steelers,Javon Hargrave,DT,South Carolina State,,2016_89,89,DL,No,Hargrave,Javon,harvonavejav
Seattle Seahawks,C.J. Prosise,RB,Notre Dame,0.8915,2016_90,90,RB,Yes,Prosise,C.J.,pro.j.isec.j
New England Patriots,Jacoby Brissett,QB,North Carolina State,0.9405,2016_91,91,QB,Yes,Brissett,Jacoby,briobyettjac
Arizona Cardinals,Brandon Williams,CB,Texas A&M,0.9927,2016_92,92,DB,Yes,Williams,Brandon,wildonamsbra
Cleveland Browns,Cody Kessler,QB,USC,0.9311,2016_93,93,QB,Yes,Kessler,Cody,kesodylercod
Seattle Seahawks,Nick Vannett,TE,Ohio State,0.9116,2016_94,94,TE,Yes,Vannett,Nick,vanickettnic
Detroit Lions,Graham Glasgow,G,Michigan,,2016_95,95,OL,No,Glasgow,Graham,glahamgowgra
New England Patriots,Vincent Valentine,DT,Nebraska,0.8774,2016_96,96,DL,Yes,Valentine,Vincent,valentinevin
Seattle Seahawks,Rees Odhiambo,G,Boise State,,2016_97,97,OL,No,Odhiambo,Rees,odheesmboree
Denver Broncos,Justin Simmons,SAF,Boston College,,2016_98,98,DB,No,Simmons,Justin,simtinonsjus
Cleveland Browns,Joe Schobert,OLB,Wisconsin,,2016_99,99,LB,No,Schobert,Joe,schjoeertjoe
Oakland Raiders,Connor Cook,QB,Michigan State,0.8367,2016_100,100,QB,Yes,Cook,Connor,coonorookcon
Dallas Cowboys,Charles Tapper,DE,Oklahoma,0.8933,2016_101,101,DL,Yes,Tapper,Charles,taplespercha
San Diego Chargers,Joshua Perry,LB,Ohio State,0.9436,2016_102,102,LB,Yes,Perry,Joshua,perhuarryjos
Jacksonville Jaguars,Sheldon Day,DT,Notre Dame,0.9509,2016_103,103,DL,Yes,Day,Sheldon,daydondayshe
Baltimore Ravens,Tavon Young,CB,Temple,,2016_104,104,DB,No,Young,Tavon,youvonungtav
Kansas City Chiefs,Parker Ehinger,G,Cincinnati,,2016_105,105,OL,No,Ehinger,Parker,ehikergerpar
Kansas City Chiefs,Eric Murray,CB,Minnesota,,2016_106,106,DB,No,Murray,Eric,murricrayeri
Baltimore Ravens,Chris Moore,WR,Cincinnati,0.8441,2016_107,107,WR,Yes,Moore,Chris,moorisorechr
Tampa Bay Buccaneers,Ryan Smith,CB,North Carolina Central,,2016_108,108,DB,No,Smith,Ryan,smiyanithrya
New York Giants,B.J. Goodson,LB,Clemson,,2016_109,109,LB,No,Goodson,B.J.,goo.j.sonb.j
Los Angeles Rams,Tyler Higbee,TE,Western Kentucky,,2016_110,110,TE,No,Higbee,Tyler,higlerbeetyl
Detroit Lions,Miles Killebrew,SAF,Southern Utah,,2016_111,111,DB,No,Killebrew,Miles,killesrewmil
New England Patriots,Malcolm Mitchell,WR,Georgia,0.981,2016_112,112,WR,Yes,Mitchell,Malcolm,mitolmellmal
Chicago Bears,Nick Kwiatkoski,LB,West Virginia,,2016_113,113,LB,No,Kwiatkoski,Nick,kwiickskinic
Cleveland Browns,Ricardo Louis,WR,Auburn,0.9393,2016_114,114,WR,Yes,Louis,Ricardo,lourdouisric
Atlanta Falcons,De'Vondre Campbell,LB,Minnesota,,2016_115,115,LB,No,Campbell,De'Vondre,camdreellde'
Indianapolis Colts,Hassan Ridgeway,DT,Texas,0.9174,2016_116,116,DL,Yes,Ridgeway,Hassan,ridsanwayhas
Los Angeles Rams,Pharoh Cooper,WR,South Carolina,0.873,2016_117,117,WR,Yes,Cooper,Pharoh,coorohperpha
New York Jets,Juston Burris,CB,North Carolina State,,2016_118,118,DB,No,Burris,Juston,burtonrisjus
Houston Texans,Tyler Ervin,RB,San Jose State,,2016_119,119,RB,No,Ervin,Tyler,ervlervintyl
New Orleans Saints,David Onyemata,DT,Manitoba (Canada),,2016_120,120,DL,No,Onyemata,David,onyvidatadav
Minnesota Vikings,Willie Beavers,T,Western Michigan,,2016_121,121,OL,No,Beavers,Willie,bealieerswil
Cincinnati Bengals,Andrew Billings,NT,Baylor,0.937,2016_122,122,DL,Yes,Billings,Andrew,bilrewngsand
Pittsburgh Steelers,Jerald Hawkins,T,LSU,0.8935,2016_123,123,OL,Yes,Hawkins,Jerald,hawaldinsjer
Chicago Bears,Deon Bush,SAF,Miami (Fla.),0.9452,2016_124,124,DB,Yes,Bush,Deon,buseonushdeo
Indianapolis Colts,Antonio Morrison,LB,Florida,0.8947,2016_125,125,LB,Yes,Morrison,Antonio,morniosonant
Kansas City Chiefs,Demarcus Robinson,WR,Florida,0.8854,2016_126,126,WR,Yes,Robinson,Demarcus,robcussondem
Chicago Bears,Deiondre' Hall,SAF,Northern Iowa,,2016_127,127,DB,No,Hall,Deiondre',halre'alldei
Arizona Cardinals,Evan Boehm,C,Missouri,0.9539,2016_128,128,OL,Yes,Boehm,Evan,boevanehmeva
Cleveland Browns,Derrick Kindred,SAF,Texas Christian,,2016_129,129,DB,No,Kindred,Derrick,kinickredder
Baltimore Ravens,Alex Lewis,T,Nebraska,,2016_130,130,OL,No,Lewis,Alex,lewlexwisale
Green Bay Packers,Blake Martinez,LB,Stanford,0.8594,2016_131,131,LB,Yes,Martinez,Blake,marakenezbla
Baltimore Ravens,Willie Henry,DT,Michigan,0.8437,2016_132,132,DL,Yes,Henry,Willie,henlienrywil
San Francisco 49ers,Rashard Robinson,CB,LSU,0.8903,2016_133,133,DB,Yes,Robinson,Rashard,robardsonras
Baltimore Ravens,Kenneth Dixon,RB,Louisiana Tech,0.8472,2016_134,134,RB,Yes,Dixon,Kenneth,dixethxonken
Dallas Cowboys,Dak Prescott,QB,Mississippi State,0.8569,2016_135,135,QB,Yes,Prescott,Dak,predakottdak
Denver Broncos,Devontae Booker,RB,Utah,,2016_136,136,RB,No,Booker,Devontae,bootaekerdev
Green Bay Packers,Dean Lowry,DE,Northwestern,0.8558,2016_137,137,DL,Yes,Lowry,Dean,loweanwrydea
Cleveland Browns,Seth DeValve,WR,Princeton,,2016_138,138,WR,No,DeValve,Seth,devethlveset
Buffalo Bills,Cardale Jones,QB,Ohio State,0.8715,2016_139,139,QB,Yes,Jones,Cardale,jonalenescar
Tampa Bay Buccaneers,Jameis Winston,QB,Florida State,0.9915,2015_1,1,QB,Yes,Winston,Jameis,wineistonjam
Tennessee Titans,Marcus Mariota,QB,Oregon,0.8631,2015_2,2,QB,Yes,Mariota,Marcus,marcusotamar
Jacksonville Jaguars,Dante Fowler,LB,Florida,0.9842,2015_3,3,LB,Yes,Fowler,Dante,fowntelerdan
Oakland Raiders,Amari Cooper,WR,Alabama,0.9776,2015_4,4,WR,Yes,Cooper,Amari,cooariperama
Washington Redskins,Brandon Scherff,T,Iowa,0.8701,2015_5,5,OL,Yes,Scherff,Brandon,schdonrffbra
New York Jets,Leonard Williams,DT,USC,0.9758,2015_6,6,DL,Yes,Williams,Leonard,wilardamsleo
Chicago Bears,Kevin White,WR,West Virginia,0.8333,2015_7,7,WR,Yes,White,Kevin,whivinitekev
Atlanta Falcons,Vic Beasley,LB,Clemson,0.8622,2015_8,8,LB,Yes,Beasley,Vic,beavicleyvic
New York Giants,Ereck Flowers,T,Miami (Fla.),0.9349,2015_9,9,OL,Yes,Flowers,Ereck,floeckersere
St. Louis Rams,Todd Gurley,RB,Georgia,0.9654,2015_10,10,RB,Yes,Gurley,Todd,guroddleytod
Minnesota Vikings,Trae Waynes,CB,Michigan State,,2015_11,11,DB,No,Waynes,Trae,wayraenestra
Cleveland Browns,Danny Shelton,DT,Washington,0.8826,2015_12,12,DL,Yes,Shelton,Danny,shennytondan
New Orleans Saints,Andrus Peat,T,Stanford,0.9849,2015_13,13,OL,Yes,Peat,Andrus,pearuseatand
Miami Dolphins,DeVante Parker,WR,Louisville,0.8865,2015_14,14,WR,Yes,Parker,DeVante,parntekerdev
San Diego Chargers,Melvin Gordon,RB,Wisconsin,0.8983,2015_15,15,RB,Yes,Gordon,Melvin,gorvindonmel
Houston Texans,Kevin Johnson,CB,Wake Forest,0.8764,2015_16,16,DB,Yes,Johnson,Kevin,johvinsonkev
San Francisco 49ers,Arik Armstead,DE,Oregon,0.9917,2015_17,17,DL,Yes,Armstead,Arik,armrikeadari
Kansas City Chiefs,Marcus Peters,CB,Washington,0.8634,2015_18,18,DB,Yes,Peters,Marcus,petcusersmar
Cleveland Browns,Cameron Erving,T,Florida State,0.859,2015_19,19,OL,Yes,Erving,Cameron,ervroningcam
Philadelphia Eagles,Nelson Agholor,WR,USC,0.9854,2015_20,20,WR,Yes,Agholor,Nelson,aghsonlornel
Cincinnati Bengals,Cedric Ogbuehi,T,Texas A&M,0.9412,2015_21,21,OL,Yes,Ogbuehi,Cedric,ogbricehiced
Pittsburgh Steelers,Bud Dupree,LB,Kentucky,0.8468,2015_22,22,LB,Yes,Dupree,Bud,dupbudreebud
Denver Broncos,Shane Ray,DE,Missouri,0.8807,2015_23,23,DL,Yes,Ray,Shane,rayaneraysha
Arizona Cardinals,D.J. Humphries,T,Florida,0.998,2015_24,24,OL,Yes,Humphries,D.J.,hum.j.iesd.j
Carolina Panthers,Shaq Thompson,LB,Washington,0.9978,2015_25,25,LB,Yes,Thompson,Shaq,thohaqsonsha
Baltimore Ravens,Breshad Perriman,WR,Central Florida,,2015_26,26,WR,No,Perriman,Breshad,perhadmanbre
Dallas Cowboys,Byron Jones,CB,Connecticut,,2015_27,27,DB,No,Jones,Byron,jonronnesbyr
Detroit Lions,Laken Tomlinson,G,Duke,0.867,2015_28,28,OL,Yes,Tomlinson,Laken,tomkensonlak
Indianapolis Colts,Phillip Dorsett,WR,Miami (Fla.),0.8731,2015_29,29,WR,Yes,Dorsett,Phillip,dorlipettphi
Green Bay Packers,Damarious Randall,DB,Arizona State,,2015_30,30,DB,No,Randall,Damarious,ranousalldam
New Orleans Saints,Stephone Anthony,LB,Clemson,0.9905,2015_31,31,LB,Yes,Anthony,Stephone,antoneonyste
New England Patriots,Malcom Brown,DT,Texas,0.9944,2015_32,32,DL,Yes,Brown,Malcom,brocomownmal
New York Giants,Landon Collins,SAF,Alabama,0.9971,2015_33,33,DB,Yes,Collins,Landon,coldoninslan
Tampa Bay Buccaneers,Donovan Smith,T,Penn State,0.9241,2015_34,34,OL,Yes,Smith,Donovan,smivanithdon
Oakland Raiders,Mario Edwards,DE,Florida State,0.9995,2015_35,35,DL,Yes,Edwards,Mario,edwriordsmar
Jacksonville Jaguars,T.J. Yeldon,RB,Alabama,0.9876,2015_36,36,RB,Yes,Yeldon,T.J.,yel.j.dont.j
New York Jets,Devin Smith,WR,Ohio State,0.8542,2015_37,37,WR,Yes,Smith,Devin,smivinithdev
Washington Redskins,Preston Smith,DE,Mississippi State,,2015_38,38,DL,No,Smith,Preston,smitonithpre
Chicago Bears,Eddie Goldman,DT,Florida State,0.9944,2015_39,39,DL,Yes,Goldman,Eddie,goldiemanedd
Tennessee Titans,Dorial Green-Beckham,WR,Oklahoma,0.9998,2015_40,40,WR,Yes,Green-Beckham,Dorial,greialhamdor
Carolina Panthers,Devin Funchess,WR,Michigan,0.9095,2015_41,41,WR,Yes,Funchess,Devin,funvinessdev
Atlanta Falcons,Jalen Collins,CB,LSU,0.8772,2015_42,42,DB,Yes,Collins,Jalen,colleninsjal
Houston Texans,Benardrick McKinney,LB,Mississippi State,,2015_43,43,LB,No,McKinney,Benardrick,mckickneyben
New Orleans Saints,Hau'oli Kikaha,LB,Washington,0.8542,2015_44,44,LB,Yes,Kikaha,Hau'oli,kikoliahahau
Minnesota Vikings,Eric Kendricks,LB,UCLA,0.8622,2015_45,45,LB,Yes,Kendricks,Eric,kenricckseri
San Francisco 49ers,Jaquiski Tartt,SAF,Samford,,2015_46,46,DB,No,Tartt,Jaquiski,tarskirttjaq
Philadelphia Eagles,Eric Rowe,CB,Utah,0.8665,2015_47,47,DB,Yes,Rowe,Eric,rowricoweeri
San Diego Chargers,Denzel Perryman,LB,Miami (Fla.),0.8857,2015_48,48,LB,Yes,Perryman,Denzel,perzelmanden
Kansas City Chiefs,Mitch Morse,G,Missouri,0.8826,2015_49,49,OL,Yes,Morse,Mitch,mortchrsemit
Buffalo Bills,Ronald Darby,CB,Florida State,0.9879,2015_50,50,DB,Yes,Darby,Ronald,daraldrbyron
Cleveland Browns,Nate Orchard,DE,Utah,0.8449,2015_51,51,DL,Yes,Orchard,Nate,orcateardnat
Miami Dolphins,Jordan Phillips,DT,Oklahoma,0.974,2015_52,52,DL,Yes,Phillips,Jordan,phidanipsjor
Cincinnati Bengals,Jake Fisher,T,Oregon,0.8793,2015_53,53,OL,Yes,Fisher,Jake,fisakeherjak
Detroit Lions,Ameer Abdullah,RB,Nebraska,0.8653,2015_54,54,RB,Yes,Abdullah,Ameer,abdeerlahame
Baltimore Ravens,Maxx Williams,TE,Minnesota,,2015_55,55,TE,No,Williams,Maxx,wilaxxamsmax
Pittsburgh Steelers,Senquez Golson,CB,Mississippi,0.8876,2015_56,56,DB,Yes,Golson,Senquez,goluezsonsen
St. Louis Rams,Rob Havenstein,T,Wisconsin,0.8653,2015_57,57,OL,Yes,Havenstein,Rob,havrobeinrob
Arizona Cardinals,Markus Golden,DE,Missouri,,2015_58,58,DL,No,Golden,Markus,golkusdenmar
Denver Broncos,Ty Sambrailo,T,Colorado State,,2015_59,59,OL,No,Sambrailo,Ty,samtyiloty
Dallas Cowboys,Randy Gregory,LB,Nebraska,,2015_60,60,LB,No,Gregory,Randy,grendyoryran
Tampa Bay Buccaneers,Ali Marpet,G,Hobart,,2015_61,61,OL,No,Marpet,Ali,maralipetali
Green Bay Packers,Quinten Rollins,CB,Miami (Ohio),,2015_62,62,DB,No,Rollins,Quinten,rolteninsqui
Seattle Seahawks,Frank Clark,DE,Michigan,0.8516,2015_63,63,DL,Yes,Clark,Frank,claankarkfra
New England Patriots,Jordan Richards,SAF,Stanford,0.8755,2015_64,64,DB,Yes,Richards,Jordan,ricdanrdsjor
Indianapolis Colts,D'Joun Smith,CB,Florida Atlantic,,2015_65,65,DB,No,Smith,D'Joun,smiounithd'j
Tennessee Titans,Jeremiah Poutasi,G,Utah,0.9201,2015_66,66,OL,Yes,Poutasi,Jeremiah,pouiahasijer
Jacksonville Jaguars,A.J. Cann,G,South Carolina,0.9375,2015_67,67,OL,Yes,Cann,A.J.,can.j.anna.j
Oakland Raiders,Clive Walford,TE,Miami (Fla.),,2015_68,68,TE,No,Walford,Clive,waliveordcli
Seattle Seahawks,Tyler Lockett,WR,Kansas State,0.8497,2015_69,69,WR,Yes,Lockett,Tyler,locleretttyl
Houston Texans,Jaelen Strong,WR,Arizona State,,2015_70,70,WR,No,Strong,Jaelen,strlenongjae
Chicago Bears,Hroniss Grasu,C,Oregon,0.867,2015_71,71,OL,Yes,Grasu,Hroniss,graissasuhro
St. Louis Rams,Jamon Brown,T,Louisville,0.8609,2015_72,72,OL,Yes,Brown,Jamon,bromonownjam
Atlanta Falcons,Tevin Coleman,RB,Indiana,0.8686,2015_73,73,RB,Yes,Coleman,Tevin,colvinmantev
New York Giants,Owa Odighizuwa,DE,UCLA,,2015_74,74,DL,No,Odighizuwa,Owa,odiowauwaowa
New Orleans Saints,Garrett Grayson,QB,Colorado State,0.8556,2015_75,75,QB,Yes,Grayson,Garrett,graettsongar
Kansas City Chiefs,Chris Conley,WR,Georgia,0.8918,2015_76,76,WR,Yes,Conley,Chris,conrisleychr
Cleveland Browns,Duke Johnson,RB,Miami (Fla.),0.9894,2015_77,77,RB,Yes,Johnson,Duke,johukesonduk
New Orleans Saints,P.J. Williams,CB,Florida State,0.9487,2015_78,78,DB,Yes,Williams,P.J.,wil.j.amsp.j
San Francisco 49ers,Eli Harold,LB,Virginia,0.9802,2015_79,79,LB,Yes,Harold,Eli,harelioldeli
Detroit Lions,Alex Carter,CB,Stanford,0.9689,2015_80,80,DB,Yes,Carter,Alex,carlexterale
Buffalo Bills,John Miller,G,Louisville,0.8465,2015_81,81,OL,Yes,Miller,John,milohnlerjoh
New York Jets,Lorenzo Mauldin,LB,Louisville,0.8393,2015_82,82,LB,Yes,Mauldin,Lorenzo,maunzodinlor
San Diego Chargers,Craig Mager,CB,Texas State,,2015_83,83,DB,No,Mager,Craig,magaiggercra
Philadelphia Eagles,Jordan Hicks,LB,Texas,0.9962,2015_84,84,LB,Yes,Hicks,Jordan,hicdancksjor
Cincinnati Bengals,Tyler Kroft,TE,Rutgers,,2015_85,85,TE,No,Kroft,Tyler,krolerofttyl
Arizona Cardinals,David Johnson,RB,Northern Iowa,0.8795,2015_86,86,RB,Yes,Johnson,David,johvidsondav
Pittsburgh Steelers,Sammie Coates,WR,Auburn,0.8795,2015_87,87,WR,Yes,Coates,Sammie,coamietessam
Minnesota Vikings,Danielle Hunter,DE,LSU,0.9241,2015_88,88,DL,Yes,Hunter,Danielle,hunlleterdan
St. Louis Rams,Sean Mannion,QB,Oregon State,0.8907,2015_89,89,QB,Yes,Mannion,Sean,maneanionsea
Baltimore Ravens,Carl Davis,DT,Iowa,0.8559,2015_90,90,DL,Yes,Davis,Carl,davarlviscar
Dallas Cowboys,Chaz Green,T,Florida,0.978,2015_91,91,OL,Yes,Green,Chaz,grehazeencha
Denver Broncos,Jeff Heuerman,TE,Ohio State,0.8696,2015_92,92,TE,Yes,Heuerman,Jeff,heueffmanjef
Indianapolis Colts,Henry Anderson,DE,Stanford,0.867,2015_93,93,DL,Yes,Anderson,Henry,andnrysonhen
Green Bay Packers,Ty Montgomery,WR,Stanford,0.9026,2015_94,94,WR,Yes,Montgomery,Ty,montyeryty
Washington Redskins,Matt Jones,RB,Florida,0.9347,2015_95,95,RB,Yes,Jones,Matt,jonattnesmat
Cleveland Browns,Xavier Cooper,DT,Washington State,,2015_96,96,DL,No,Cooper,Xavier,cooierperxav
New England Patriots,Geneo Grissom,LB,Oklahoma,0.9123,2015_97,97,LB,Yes,Grissom,Geneo,grineosomgen
Kansas City Chiefs,Steven Nelson,CB,Oregon State,,2015_98,98,DB,No,Nelson,Steven,nelvensonste
Cincinnati Bengals,P.J. Dawson,LB,Texas Christian,,2015_99,99,LB,No,Dawson,P.J.,daw.j.sonp.j
Tennessee Titans,Angelo Blackson,DT,Auburn,0.8759,2015_100,100,DL,Yes,Blackson,Angelo,blaelosonang
New England Patriots,Trey Flowers,DE,Arkansas,,2015_101,101,DL,No,Flowers,Trey,floreyerstre
Carolina Panthers,Daryl Williams,T,Oklahoma,0.9033,2015_102,102,OL,Yes,Williams,Daryl,wilrylamsdar
New York Jets,Bryce Petty,QB,Baylor,,2015_103,103,QB,No,Petty,Bryce,petycettybry
Jacksonville Jaguars,James Sample,SAF,Louisville,0.9174,2015_104,104,DB,Yes,Sample,James,sammesplejam
Washington Redskins,Jamison Crowder,WR,Duke,,2015_105,105,WR,No,Crowder,Jamison,crosonderjam
Chicago Bears,Jeremy Langford,RB,Michigan State,,2015_106,106,RB,No,Langford,Jeremy,lanemyordjer
Atlanta Falcons,Justin Hardy,WR,East Carolina,,2015_107,107,WR,No,Hardy,Justin,hartinrdyjus
Tennessee Titans,Jalston Fowler,FB,Alabama,0.9094,2015_108,108,RB,Yes,Fowler,Jalston,fowtonlerjal
Indianapolis Colts,Clayton Geathers,SAF,Central Florida,,2015_109,109,DB,No,Geathers,Clayton,geatonerscla
Minnesota Vikings,T.J. Clemmings,T,Pittsburgh,0.9205,2015_110,110,OL,Yes,Clemmings,T.J.,cle.j.ngst.j
New England Patriots,Tre Jackson,G,Florida State,0.854,2015_111,111,OL,Yes,Jackson,Tre,jactresontre
Washington Redskins,Arie Kouandjio,G,Alabama,0.9224,2015_112,112,OL,Yes,Kouandjio,Arie,kouriejioari
Detroit Lions,Gabe Wright,DT,Auburn,0.9598,2015_113,113,DL,Yes,Wright,Gabe,wriabeghtgab
Miami Dolphins,Jamil Douglas,G,Arizona State,,2015_114,114,OL,No,Douglas,Jamil,doumillasjam
Cleveland Browns,Ibraheim Campbell,SAF,Northwestern,0.8559,2015_115,115,DB,Yes,Campbell,Ibraheim,cameimellibr
Arizona Cardinals,Rodney Gunter,DT,Delaware State,,2015_116,116,DL,No,Gunter,Rodney,gunneyterrod
San Francisco 49ers,Blake Bell,TE,Oklahoma,0.9678,2015_117,117,TE,Yes,Bell,Blake,belakeellbla
Kansas City Chiefs,Ramik Wilson,LB,Georgia,0.8757,2015_118,118,LB,Yes,Wilson,Ramik,wilmiksonram
St. Louis Rams,Andrew Donnal,T,Iowa,0.9041,2015_119,119,OL,Yes,Donnal,Andrew,donrewnaland
Cincinnati Bengals,Josh Shaw,CB,USC,0.9867,2015_120,120,DB,Yes,Shaw,Josh,shaoshhawjos
Pittsburgh Steelers,Doran Grant,CB,Ohio State,0.9705,2015_121,121,DB,Yes,Grant,Doran,graranantdor
Baltimore Ravens,Za'Darius Smith,DE,Kentucky,,2015_122,122,DL,No,Smith,Za'Darius,smiiusithza'
Cleveland Browns,Vince Mayle,WR,Washington State,,2015_123,123,WR,No,Mayle,Vince,maynceylevin
Tampa Bay Buccaneers,Kwon Alexander,OLB,LSU,0.9572,2015_124,124,LB,Yes,Alexander,Kwon,alewonderkwo
Baltimore Ravens,Javorius Allen,RB,USC,0.8905,2015_125,125,RB,Yes,Allen,Javorius,alliuslenjav
San Francisco 49ers,Mike Davis,RB,South Carolina,0.9216,2015_126,126,RB,Yes,Davis,Mike,davikevismik
